id,star
alinea-chicago,3
grace-chicago-3,3
42-grams-chicago,2
acadia-chicago,2
sixteen-chicago,2
blackbird-chicago,1
boka-chicago,1
duseks-board-and-beer-chicago-2,1
el-ideas-chicago-2,1
elizabeth-restaurant-chicago,1
everest-chicago,1
goosefoot-chicago,1
longman-and-eagle-chicago,1
moto-chicago,1
naha-chicago,1
north-pond-chicago,1
parachute-chicago,1
schwa-chicago,1
sepia-chicago,1
spiaggia-chicago-4,1
topolobampo-chicago,1
tru-chicago,1
chefs-table-at-brooklyn-fare-brooklyn-3,3
eleven-madison-park-new-york,3
jean-georges-new-york,3
le-bernardin-new-york,3
masa-new-york,3
per-se-new-york,3
aquavit-new-york,2
atera-new-york,2
blanca-brooklyn,2
daniel-new-york-4,2
ichimura-at-brushstroke-new-york,2
jungsik-new-york,2
marea-new-york,2
momofuku-ko-new-york-3,2
soto-new-york,2
the-modern-new-york-3,2
ai-fiori-new-york,1
aldea-new-york,1
andanada-new-york-3,1
aureole-new-york,1
babbo-new-york,1
b%C3%A2tard-new-york,1
betony-new-york,1
blue-hill-new-york,1
bouley-new-york-2,1
brushstroke-new-york,1
cafe-boulud-new-york-4,1
caf%C3%A9-china-new-york-2,1
cagen-japan-restaurant-new-york-2,1
carbone-new-york,1
casa-enrique-long-island-city,1
casa-mono-new-york,1
caviar-russe-new-york,1
del-posto-new-york,1
delaware-and-hudson-brooklyn,1
dovetail-new-york,1
gabriel-kreuther-new-york,1
gotham-bar-and-grill-new-york,1
gramercy-tavern-new-york,1
hirohisa-new-york,1
jewel-bako-new-york,1
juni-new-york,1
junoon-new-york,1
kajitsu-new-york-3,1
kyo-ya-new-york,1
la-vara-brooklyn,1
luksus-brooklyn,1
m-wells-steakhouse-long-island-city,1
meadowsweet-williamsburg,1
minetta-tavern-new-york,1
the-nomad-restaurant-new-york,1
peter-luger-steak-house-brooklyn,1
picholine-new-york,1
piora-new-york,1
pok-pok-ny-brooklyn-3,1
public-new-york,1
rebelle-new-york,1
rosanjin-new-york,1
semilla-williamsburg-2,1
somtum-der-new-york,1
the-spotted-pig-new-york,1
sushi-azabu-new-york,1
sushi-of-gari-new-york,1
sushi-yasuda-new-york,1
take-root-brooklyn-3,1
telepan-new-york,1
tempura-matsui-new-york,1
the-breslin-bar-and-dining-room-new-york,1
the-finch-clinton-hill,1
the-musket-room-new-york,1
the-river-caf%C3%A9-brooklyn-3,1
torishin-new-york-3,1
tulsi-new-york,1
uncle-boons-new-york-2,1
walls%C3%A9-new-york-2,1
zzs-clam-bar-new-york,1
benu-san-francisco-4,3
the-french-laundry-yountville-2,3
manresa-los-gatos-2,3
the-restaurant-at-meadowood-st-helena,3
saison-san-francisco-2,3
acquerello-san-francisco,2
atelier-crenn-san-francisco,2
baum%C3%A9-palo-alto-5,2
campton-place-restaurant-san-francisco,2
coi-san-francisco,2
commis-oakland-2,2
quince-san-francisco,2
all-spice-san-francisco,1
als-place-san-francisco,1
ame-san-francisco,1
aster-san-francisco,1
auberge-du-soleil-restaurant-rutherford,1
aziza-san-francisco,1
bouchon-yountville,1
californios-san-francisco,1
chez-tj-mountain-view,1
commonwealth-san-francisco,1
farmhouse-inn-restaurant-forestville-2,1
gary-danko-san-francisco,1
keiko-%C3%A0-nob-hill-san-francisco-2,1
kin-khao-san-francisco-2,1
kusakabe-san-francisco,1
la-toque-napa,1
lazy-bear-san-francisco-5,1
lord-stanley-san-francisco,1
luce-san-francisco,1
madrona-manor-healdsburg-2,1
michael-mina-san-francisco-2,1
mourad-restaurant-san-francisco,1
nico-san-francisco,1
octavia-san-francisco,1
omakase-san-francisco,1
plumed-horse-saratoga,1
rasa-burlingame,1
solbar-calistoga,1
sons-and-daughters-san-francisco,1
spqr-san-francisco,1
spruce-san-francisco,1
state-bird-provisions-san-francisco,1
sushi-yoshizumi-san-mateo,1
terra-saint-helena-2,1
terrapin-creek-cafe-and-restaurant-bodega-bay,1
the-village-pub-woodside,1
wako-japanese-restaurant-san-francisco,1
wakuriya-san-mateo,1
