name,id,city,star
Herb,herb-chicago,Chicago,0
Untitled Supper Club,untitled-supper-club-chicago,Chicago,0
Gilt Bar,gilt-bar-chicago,Chicago,0
Slurping Turtle,slurping-turtle-chicago,Chicago,0
Frontera Grill,frontera-grill-chicago,Chicago,0
Bohemian House,bohemian-house-chicago,Chicago,0
Avec,avec-chicago,Chicago,0
Beatrix,beatrix-river-north-chicago,Chicago,0
GT Fish & Oyster,gt-fish-and-oyster-chicago,Chicago,0
The Purple Pig,the-purple-pig-chicago,Chicago,0
Au Cheval,au-cheval-chicago,Chicago,0
Girl & The Goat,girl-and-the-goat-chicago,Chicago,0
Sushi Dokku,sushi-dokku-chicago,Chicago,0
Maude's Liquor Bar,maudes-liquor-bar-chicago,Chicago,0
Jaipur,jaipur-chicago,Chicago,0
The Publican,the-publican-chicago,Chicago,0
The Dawson,the-dawson-chicago,Chicago,0
TWO,two-chicago,Chicago,0
bellyQ,bellyq-chicago-2,Chicago,0
Khe-Yo,khe-yo-new-york,New York,0
Dim Sum Go Go,dim-sum-go-go-new-york,New York,0
Nyonya,nyonya-new-york,New York,0
Ed's Lobster Bar,eds-lobster-bar-new-york-3,New York,0
Rubirosa,rubirosa-new-york-2,New York,0
Ciccio,ciccio-new-york-2,New York,0
Pearl & Ash,pearl-and-ash-new-york,New York,0
Russ & Daughters Café,russ-and-daughters-cafe-new-york-5,New York,0
Gran Electrica,gran-electrica-brooklyn,New York,0
Lupa,lupa-new-york,New York,0
DBGB Kitchen & Bar,dbgb-kitchen-and-bar-new-york,New York,0
Bar Primi,bar-primi-new-york-3,New York,0
Prune,prune-new-york,New York,0
Il Buco Alimentari e Vineria,il-buco-alimentari-and-vineria-new-york-2,New York,0
Hecho en Dumbo,hecho-en-dumbo-new-york,New York,0
Aroma Kitchen & Wine Bar,aroma-kitchen-and-winebar-new-york,New York,0
Baker & Co.,baker-and-co-new-york,New York,0
Thelma on Clinton,thelma-on-clinton-new-york,New York,0
Supper,supper-new-york,New York,0
Rich Table,rich-table-san-francisco,San Francisco,0
1601 Bar & Kitchen,1601-bar-and-kitchen-san-francisco,San Francisco,0
Dosa,dosa-on-fillmore-san-francisco-3,San Francisco,0
M. Y. China,m-y-china-san-francisco-2,San Francisco,0
Izakaya Rintaro,izakaya-rintaro-san-francisco,San Francisco,0
Zero Zero,zero-zero-san-francisco,San Francisco,0
Yuzuki,yuzuki-japanese-eatery-san-francisco,San Francisco,0
Bar Tartine,bar-tartine-san-francisco,San Francisco,0
Mason Pacific,mason-pacific-san-francisco,San Francisco,0
Fringale,fringale-san-francisco,San Francisco,0
Starbelly,starbelly-san-francisco,San Francisco,0
Delfina,delfina-san-francisco,San Francisco,0
Z & Y,z-and-y-restaurant-san-francisco-3,San Francisco,0
Trestle,trestle-san-francisco,San Francisco,0
Farmhouse Kitchen Thai,farmhouse-kitchen-thai-cuisine-san-francisco,San Francisco,0
Cotogna,cotogna-san-francisco,San Francisco,0
Anchor Oyster Bar,anchor-oyster-bar-san-francisco,San Francisco,0
Kokkari Estiatorio,kokkari-estiatorio-san-francisco,San Francisco,0
Bistro Aix,bistro-aix-san-francisco,San Francisco,0
Bad Saint,bad-saint-washington,Washington,0
Bidwell,bidwell-washington,Washington,0
Boqueria,boqueria-washington,Washington,0
Chercher,chercher-ethiopian-restaurant-and-mart-washington,Washington,0
China Chilcano,china-chilcano-washington,Washington,0
Das,das-ethiopian-washington,Washington,0
Doi Moi,doi-moi-washington,Washington,0
Jaleo,jaleo-dc-washington,Washington,0
Kyirisan,kyirisan-washington,Washington,0
Lapis,lapis-washington,Washington,0
Maketto,maketto-washington-2,Washington,0
Ottoman Taverna,ottoman-taverna-washington,Washington,0
Oyamel,oyamel-cocina-mexicana-washington-2,Washington,0
Pearl Dive Oyster Palace,pearl-dive-oyster-palace-washington,Washington,0
Red Hen,the-red-hen-washington,Washington,0
Royal,the-royal-washington-2,Washington,0
Thip Khao,thip-khao-washington,Washington,0
2Amys,2-amys-neapolitan-pizzeria-washington,Washington,0
Zaytinya,zaytinya-washington,Washington,0
