Restaurants,Stars
Sushi Taro,1.7
Makoto Restaurant,1.35
Komi,1.3
Fiola,1.0
Kinship,1.0
Masseria,1.0
Plume,1.0
Pineapple & Pearls,1.0
Obelisk,1.0
1789 Restaurant,1.0
Bourbon Steak,1.0
Metier,1.0
Marcel's by Robert Wiedmaier,1.0
minibar by José Andrés,1.0
Westend Bistro,0.7
Blue Duck Tavern,0.65
Thai X-ing,0.65
Rasika West End,0.35
Little Serow,0.35
Central Michel Richard,0.3
Corduroy,0.3
Mari Vanna,0.3
Barmini By José Andrés,0.3
Founding Farmers DC,0.0
The Source,0.0
Oyamel Cocina Mexicana,0.0
Daikaya Ramen Shop,0.0
Daikaya Izakaya,0.0
Doi Moi,0.0
Fig & Olive,0.0
Momiji,0.0
Izakaya Seki,0.0
Nagomi Izakaya,0.0
Tachibana Japanese Restaurant,0.0
Casa Luca,0.0
Grand Central,0.0
Rose's Luxury,0.0
Rose's Luxury,0.0
Tail Up Goat,0.0
Rasika,0.0
Fiola Mare,0.0
Fogo de Chão Brazilian Steakhouse,0.0
Le Diplomate,0.0
Zaytinya,0.0
"Joe's Seafood, Prime Steak & Stone Crab",0.0
BlackSalt,0.0
Sushi Capitol,0.0
Filomena Ristorante,0.0
Pennsylvania 6 DC,0.0
The Capital Grille,0.0
Rasika,0.0
Bad Saint,0.0
Brasserie Beck,0.0
Vidalia,0.0
